127	5万-15万	6.98	10.98	7.58,7.88,8.28,8.98,9.68,9.88,10.08,9.28,10.18,10.98,6.98,	官方出厂价格	2012-05-07 20:00:00
128	5万-15万	6.68	10.58	7.28,7.58,8.28,7.98,8.68,9.28,8.98,9.88,10.58,7.58,8.28,8.88,7.98,8.68,9.28,8.98,9.38,9.88,10.58,6.68,	官方出厂价格	2012-05-07 20:00:00
965	5万-15万	11.88	13.98	11.88,12.88,13.98,	官方出厂价格	2012-05-07 20:00:00
455	5万-15万	6.98	9.98	6.98,7.78,7.78,8.88,9.38,7.58,8.08,9.18,7.58,8.38,8.38,9.48,9.98,8.68,9.78,	官方出厂价格	2012-05-07 20:00:00
456	5万-15万	6.98	9.98	6.98,7.78,7.78,8.88,9.38,7.58,8.38,8.38,9.48,9.98,	官方出厂价格	2012-05-07 20:00:00
440	5万-15万	5.88	8.89	5.98,6.08,6.28,6.68,7.69,6.98,7.38,8.49,7.78,8.89,5.88,5.98,6.18,6.48,7.49,6.88,7.38,8.39,7.88,8.89,7.68,7.68,8.69,8.69,	官方出厂价格	2012-05-07 20:00:00
450	15万-25万	16.39	20.79	19.59,20.79,16.39,17.49,18.99,20.49,	官方出厂价格	2012-05-07 20:00:00
474	5万-15万	9.28	11.48	9.28,9.78,10.58,10.68,11.48,9.28,9.78,10.58,10.68,11.48,	官方出厂价格	2012-05-07 20:00:00
489	5万-15万	12.38	19.98	12.38,13.18,13.08,13.88,13.28,14.08,13.28,14.08,13.78,14.78,14.18,15.18,14.18,15.18,14.28,15.28,15.08,16.08,18.48,15.58,16.58,18.98,16.98,17.98,19.98,	官方出厂价格	2012-05-07 20:00:00
100	15万-25万	22.98	26.98	22.98,23.98,26.98,	官方出厂价格	2012-05-07 20:00:00
483	5万-15万	5.99	14.58	5.99,6.59,6.89,7.19,7.69,8.19,6.99,7.59,7.89,8.39,8.89,7.39,6.89,7.49,7.89,8.19,8.49,7.99,11.98,12.98,14.58,6.89,7.19,7.59,7.89,8.19,7.99,10.59,5.99,6.39,6.69,6.99,7.49,7.99,6.99,7.39,7.69,8.19,8.69,8.58,8.98,10.88,	官方出厂价格	2012-05-07 20:00:00
